clip_name,frame_number,timestamp,time_since_prev_s,original_image_path,experiment_image_path,is_keyframe,anchor_sample
clip_sample_001,1,1533151610362404,0.0,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610362404.jpg,results/clips/clip_sample_001/frame_001.jpg,False,sample_001
clip_sample_001,2,1533151610412404,0.05,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404.jpg,results/clips/clip_sample_001/frame_002.jpg,True,sample_001
clip_sample_001,3,1533151610512404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610512404.jpg,results/clips/clip_sample_001/frame_003.jpg,False,sample_001
clip_sample_001,4,1533151610612404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610612404.jpg,results/clips/clip_sample_001/frame_004.jpg,False,sample_001
clip_sample_001,5,1533151610662404,0.05,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610662404.jpg,results/clips/clip_sample_001/frame_005.jpg,False,sample_001
clip_sample_001,6,1533151610762404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610762404.jpg,results/clips/clip_sample_001/frame_006.jpg,False,sample_001
clip_sample_001,7,1533151610862404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610862404.jpg,results/clips/clip_sample_001/frame_007.jpg,False,sample_001
clip_sample_001,8,1533151610912404,0.05,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404.jpg,results/clips/clip_sample_001/frame_008.jpg,True,sample_001
clip_sample_001,9,1533151611012404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611012404.jpg,results/clips/clip_sample_001/frame_009.jpg,False,sample_001
clip_sample_001,10,1533151611112404,0.1,sweeps/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611112404.jpg,results/clips/clip_sample_001/frame_010.jpg,False,sample_001
