clip_name,instance_token,category,split,method,role,frame_number,track_id,recovered,evidence_source,center_error_px,iou,identity_preserved_before_to_after
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,high_confidence_sort,before,13,0,True,high_score_detection,35.12931024747048,0.6962372298561114,True
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,high_confidence_sort,event,19,0,True,motion_prediction,27.030643352669614,0.6326276576853234,True
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,high_confidence_sort,after,25,0,True,high_score_detection,41.21917974799416,0.5084555314903062,True
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,bytetrack,before,13,2,True,high_score_detection,35.12931024747048,0.6962372298561114,True
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,bytetrack,event,19,2,True,low_score_detection,59.039263633909194,0.6580189259380305,True
clip_sample_011,3f81e988f45c44119cca8011a3274603,vehicle.car,evaluation,bytetrack,after,25,2,True,high_score_detection,44.752988407147534,0.5232488323000114,True
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,high_confidence_sort,before,7,,False,,,0.0,False
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,high_confidence_sort,event,13,,False,,,0.0,False
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,high_confidence_sort,after,19,12,True,motion_prediction,10.675582605812771,0.6964931535154023,False
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,bytetrack,before,7,,False,,,0.0,False
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,bytetrack,event,13,,False,,,0.0,False
clip_sample_011,575b8651141f42d7bcaf03a8cab65bd3,human.pedestrian.adult,evaluation,bytetrack,after,19,13,True,low_score_detection,4.568764490694033,0.6798342896095259,False
