clip_name,frame_number,sample_data_token,sample_token,instance_token,category,visibility_level,rejected,reject_reason,x1,y1,x2,y2,unclipped_x1,unclipped_y1,unclipped_x2,unclipped_y2,was_clipped,depth_m,num_lidar_pts,num_radar_pts
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,045cd82a77a1472499e8c15100cb5ff3,vehicle.car,v80-100,False,,524.08,462.22,685.12,559.92,524.08,462.22,685.12,559.92,False,22.6,26,1
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,06509e54d29547119ed212877c7f310f,movable_object.pushable_pullable,v80-100,True,projected box falls entirely outside the image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,8,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,06ff24b7f1e8479b934f1b74348028bc,vehicle.car,v80-100,False,,990.13,448.91,1047.6,498.2,990.13,448.91,1047.6,498.2,False,42.855,8,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,0809d64df9264121bead0772ee9b5984,human.pedestrian.adult,v0-40,False,,1215.36,440.59,1250.58,518.49,1215.36,440.59,1250.58,518.49,False,28.6,2,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,09810748e6c04aacb393ebf14fafa5e8,human.pedestrian.adult,v60-80,False,,1451.31,443.04,1539.83,588.74,1451.31,443.04,1539.83,588.74,False,16.004,5,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,0bfc7d407d09490cba7ac57897fcb100,vehicle.car,v0-40,False,,1310.43,427.14,1464.07,506.22,1310.43,427.14,1464.07,506.22,False,29.25,1,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,200c440c0e9b4627ad4f3047227016a2,vehicle.car,v80-100,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,17,4
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,2ef4b4d20b064d34b754f68e48f5a5c2,vehicle.car,v40-60,False,,434.17,450.99,570.51,534.99,434.17,450.99,570.51,534.99,False,32.256,4,2
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,34aaf645a4174c6c8ff1874e6b33ccf6,human.pedestrian.adult,v80-100,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,6,3
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,3620feb00d744241a94855f3a8913a78,vehicle.car,v80-100,False,,1150.62,450.03,1598.49,671.43,1150.62,450.03,1598.49,671.43,False,11.305,131,2
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,3b19bb63d0924f4da3034819357d6c8b,human.pedestrian.adult,v80-100,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,2,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,3c7331d16ac6439e9bd5a57d75976446,human.pedestrian.child,v80-100,True,projected box falls entirely outside the image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,7,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,48d06a263b314b48bd41343ea5f5d158,vehicle.car,v0-40,False,,931.86,447.62,961.26,478.57,931.86,447.62,961.26,478.57,False,82.652,1,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,4ce8f37952ad4203b1f5b23c728fb2e6,human.pedestrian.adult,v0-40,False,,54.91,483.2,125.41,588.34,54.91,483.2,125.41,588.34,False,20.642,2,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,5d77c275683248658e7564ef24bf63b2,human.pedestrian.adult,v80-100,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,9,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,5dd3f11916924b7cb93687c10c7c83b6,human.pedestrian.adult,v80-100,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,3,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,62cd175b56cf4caa887eaf3462ccde5a,movable_object.trafficcone,v80-100,True,projected box falls entirely outside the image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,0
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,6346de1c47584b34833d6df500d2ed6c,vehicle.car,v40-60,True,projected box falls entirely outside the image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,20,1
clip_sample_001,2,562a992ab3724ba1873439cb5aa79c5f,f753d3f87e5b40af87ff2cbf7c8e7082,68a40df2846e4298af0417ea12721b5c,human.pedestrian.adult,v60-80,True,all corners behind or at the camera plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0,0
